location,building_type,floor_count,orientation,facade_area_sqm,budget_level,max_cost_per_sqm,required_u_value,required_shgc,required_vlt,acoustic_requirement,fire_rating_requirement,aesthetic_preference,thermal_insulation_required,wind_load_level,climate_zone,avg_temp_c,avg_humidity_pct,avg_rainfall_mm,solar_exposure,material_id,material_type,material_subtype,cost_per_sqm,installation_cost_per_sqm,material_u_value,material_shgc,material_vlt_percent,fire_rating,durability_years,maintenance_freq_per_year,acoustic_rating_rw,water_absorption_pct,material_density_kgm3,recommended_climates,surface_reflectivity_pct,material_lifespan_years,total_material_cost,total_installation_cost,total_cost_estimate,thermal_gap_u_value,thermal_gap_shgc,budget_fit_flag,aesthetic_match_flag,fire_safety_match_flag,climate_match_flag,suitability_score
Nagpur,Commercial,13,south,950,high,180,1.8,0.38,46,yes,A2,glass,required,high,hot,29,66,1200,medium,M17,glass,Low-E,135,41,1.3,0.38,48,A2,23,1.2,34,0.4,2450,hot,22,31,128250,38950,167200,0.5,0,1,1,1,1,90
Patna,Residential,10,north,750,low,65,2.8,0.6,70,no,B,metal,not required,low,moderate,27,70,1400,low,M18,metal,stainless,50,18,2.9,0.6,65,B,50,0.3,30,0.2,8000,"moderate,cold",50,60,37500,13500,51000,0.1,0,1,1,1,1,98
Trivandrum,Hospital,8,east,1000,medium,160,1.5,0.3,42,yes,A1,composite,required,high,coastal,28,84,2800,high,M19,composite,HPL,115,33,2,0.3,40,A1,20,1.6,35,2.2,1500,coastal,26,24,115000,33000,148000,0.5,0,1,1,1,1,90
Raipur,Industrial,6,west,550,low,85,2.5,0.55,64,no,C,terracotta,required,avg,hot,31,67,1500,medium,M20,terracotta,panel,95,31,2.6,0.55,34,C,34,1,28,3.5,2100,hot,14,42,52250,17050,69300,0.1,0,0,1,1,1,78
Agra,Commercial,17,south,1800,high,210,1.6,0.35,49,yes,A2,glass,not required,high,hot,27,52,650,high,M21,glass,IGU,145,46,1.15,0.35,51,A2,26,0.9,36,0.25,2550,"hot,moderate",24,33,261000,82800,343800,0.45,0,1,1,1,1,91
Varanasi,Residential,5,north,650,medium,95,2.3,0.5,59,no,B,stone,required,low,moderate,26,71,1050,medium,M22,stone,limestone,82,28,2.15,0.5,41,B,42,0.5,26,2.8,2300,moderate,16,48,53300,18200,71500,0.15,0,1,1,1,1,97
Mangalore,Hospital,11,east,1200,high,230,1.4,0.26,37,yes,A1,metal,required,high,coastal,29,81,3400,high,M23,metal,ACP,105,36,3,0.26,22,A1,22,2,33,0.7,2900,coastal,36,26,126000,43200,169200,1.6,0,1,1,1,1,68
Jodhpur,Industrial,4,west,450,low,50,2.7,0.62,72,no,C,composite,not required,avg,hot,32,48,300,high,M24,composite,GFRC,45,15,2.4,0.62,58,C,28,0.7,32,1.6,1700,hot,30,20,20250,6750,27000,0.3,0,1,1,1,1,94
Amritsar,Commercial,19,south,1900,medium,170,1.7,0.4,47,yes,A2,louvers,required,high,cold,24,60,700,low,M25,louvers,aluminum,88,30,3.8,0.4,15,A2,18,3,29,0.9,2750,"cold,moderate",42,28,167200,57000,224200,2.1,0,1,1,1,1,58
Kanpur,Commercial,16,south,1350,medium,140,1.9,0.42,50,yes,A2,glass,required,high,hot,27,65,950,medium,M26,glass,tinted,110,35,1.4,0.32,42,A2,24,1,34,0.4,2400,hot,28,32,148500,47250,195750,0.5,0.1,1,1,1,1,88
Mysore,Residential,9,north,750,low,75,2.4,0.55,62,no,B,stone,required,avg,moderate,23,62,1100,medium,M27,stone,quartz,92,29,1.85,0.48,36,B,38,0.6,27,1.1,2550,"hot,coastal",18,48,69000,21750,90750,0.55,0.07,0,1,1,0,58
Guwahati,Hospital,12,east,1250,high,230,1.4,0.28,38,yes,A1,metal,required,high,hot,25,82,2000,high,M28,metal,zinc,78,26,2.9,0.55,28,A1,22,1.8,31,0.3,7100,moderate,38,35,97500,32500,130000,1.5,0.27,1,1,1,0,55
Coimbatore,Industrial,7,west,650,medium,115,2.1,0.48,55,no,C,composite,not required,avg,hot,28,68,1400,high,M29,composite,fiber,68,24,2.2,0.42,50,C,20,1.2,30,2.1,1650,moderate,22,25,44200,15600,59800,0.1,0.06,1,1,1,0,87
Madurai,Commercial,19,south,1850,high,210,1.6,0.35,48,yes,A2,louvers,required,high,hot,30,70,900,high,M25,louvers,aluminum,88,30,3.8,0.4,15,A2,18,3,29,0.9,2750,"cold,moderate",42,28,162800,55500,218300,2.2,0.05,1,1,1,0,45
Salem,Residential,6,north,550,low,65,2.7,0.6,68,no,B,terracotta,required,low,hot,29,66,750,medium,M30,terracotta,cladding,102,32,2.75,0.58,32,B,36,0.9,26,3.2,1950,hot,15,44,56100,17600,73700,0.05,0.02,0,1,1,1,79
Tirupati,Hospital,14,east,1450,medium,155,1.5,0.3,42,yes,A1,glass,not required,high,hot,28,72,600,high,M1,glass,Low-E,120,40,1.2,0.35,50,A2,25,1,35,0.5,2500,"coastal,hot",25,30,174000,58000,232000,0.3,0.05,1,1,0,1,73
Vadodara,Industrial,5,west,450,low,70,2.3,0.52,58,no,C,metal,required,avg,hot,29,58,800,high,M3,metal,aluminum,90,35,3.5,0.65,20,A1,20,2,32,0.8,2700,"hot,coastal",40,25,40500,15750,56250,1.2,0.13,0,1,0,1,33
Varanasi,Commercial,17,south,1650,high,240,1.7,0.4,45,yes,A2,composite,required,high,hot,27,69,1200,medium,M4,composite,ACP,110,30,1.8,0.4,45,C,15,1.5,30,2,1800,moderate,30,20,181500,49500,231000,0.1,0,1,1,0,0,68
Rajkot,Industrial,3,west,350,medium,110,2.2,0.46,54,no,C,stone,required,avg,hot,31,55,650,high,M10,stone,sandstone,75,26,1.95,0.5,38,B,45,0.4,27,3,2200,"hot,cold",12,55,26250,9100,35350,0.25,0.04,1,1,0,1,74
Nashik,Commercial,11,south,1150,high,195,1.8,0.38,46,yes,A2,glass,required,high,moderate,26,64,850,medium,M17,glass,Low-E,135,41,1.3,0.38,48,A2,23,1.2,34,0.4,2450,hot,22,31,155250,47150,202400,0.5,0,1,1,1,0,80
Udaipur,Residential,13,north,825,medium,135,2.1,0.48,56,no,B,terracotta,not required,avg,hot,28,52,550,high,M12,terracotta,GFRC,105,29,2.7,0.52,28,C,32,1.2,26,2.5,2000,moderate,18,38,86625,23925,110550,0.6,0.04,1,1,0,0,57
Shimla,Hospital,18,east,1625,high,255,1.2,0.22,34,yes,A1,metal,required,high,cold,18,70,1200,low,M18,metal,stainless,50,18,2.9,0.6,65,B,50,0.3,30,0.2,8000,"moderate,cold",50,60,81250,29250,110500,1.7,0.38,1,1,0,1,38
Belgaum,Industrial,8,west,725,low,85,2.5,0.55,62,no,C,composite,required,low,moderate,24,67,950,medium,M14,composite,ACP,60,20,2.1,0.58,52,B,16,1,33,1.9,1600,moderate,25,18,43500,14500,58000,0.4,0.03,1,1,0,1,71
Hubli,Commercial,22,south,2125,high,235,1.6,0.35,49,yes,A2,louvers,not required,high,hot,27,69,1100,high,M13,metal,louvers,80,27,3.2,0.42,25,A2,26,2.5,31,0.6,2800,"hot,moderate",32,30,170000,57375,227375,1.6,0.07,1,0,1,1,57
Jalgaon,Residential,4,north,425,low,68,2.8,0.6,70,no,B,stone,required,avg,hot,29,61,700,medium,M16,stone,marble,125,35,1.7,0.46,44,C,38,0.6,24,0.4,2700,hot,20,52,53125,14875,68000,1.1,0.14,0,1,0,1,35
Akola,Hospital,15,east,1525,medium,165,1.4,0.28,39,yes,A1,glass,required,high,hot,28,73,800,high,M11,glass,reflective,155,42,0.9,0.28,32,A1,24,1.5,37,0.1,2500,coastal,45,28,236375,64050,300425,0.5,0,1,1,1,0,80
Latur,Industrial,6,west,575,medium,120,2.3,0.52,59,no,C,metal,not required,low,hot,30,59,650,high,M23,metal,ACP,105,36,3,0.26,22,A1,22,2,33,0.7,2900,coastal,36,26,60375,20700,81075,0.7,0.26,1,1,0,0,51
Nanded,Commercial,20,south,1975,high,220,1.7,0.4,47,yes,A2,composite,required,high,hot,28,66,950,medium,M19,composite,HPL,115,33,2,0.3,40,A1,20,1.6,35,2.2,1500,coastal,26,24,227125,65175,292300,0.3,0.1,1,1,0,0,62
Parbhani,Residential,7,north,625,low,72,2.6,0.58,66,no,B,terracotta,required,avg,moderate,25,68,1050,low,M20,terracotta,panel,95,31,2.6,0.55,34,C,34,1,28,3.5,2100,hot,14,42,59375,19375,78750,0,0.03,0,1,0,0,49
Bid,Hospital,10,east,1125,medium,145,1.5,0.3,41,yes,A1,glass,not required,high,hot,29,71,750,high,M15,glass,DG,165,48,0.8,0.22,36,A1,27,1,39,0.05,2300,"coastal,hot",38,34,185625,54000,239625,0.7,0.08,0,1,1,1,64
Satara,Industrial,9,west,875,low,78,2.4,0.54,61,no,C,stone,required,low,moderate,23,70,1200,medium,M22,stone,limestone,82,28,2.15,0.5,41,B,42,0.5,26,2.8,2300,moderate,16,48,71750,24500,96250,0.25,0.04,0,1,0,1,54
Sangli,Commercial,14,south,1425,high,205,1.9,0.42,51,yes,A2,metal,required,avg,hot,27,65,900,high,M8,metal,galvanized,65,22,2.5,0.5,60,C,30,0.8,29,1.5,7800,"moderate,hot",35,45,92625,31350,123975,0.6,0.08,1,1,0,1,66
Kolhapur,Residential,12,north,1025,medium,130,2,0.45,53,no,B,composite,not required,high,moderate,26,72,1100,medium,M24,composite,GFRC,45,15,2.4,0.62,58,C,28,0.7,32,1.6,1700,hot,30,20,46125,15375,61500,0.4,0.17,1,1,0,0,59
Bhagalpur,Residential,7,east,845,low,120,2.1,0.5,57,no,B,stone,required,avg,hot,29,70,1050,medium,M31,stone,granite,80,29,1.9,0.51,48,B,30,1,28,1,2600,hot,18,45,67600,24505,92105,0.2,0.01,1,1,1,1,96
Gorakhpur,Commercial,12,south,1300,medium,150,1.6,0.39,48,yes,A2,glass,required,high,moderate,26,68,980,medium,M32,glass,Low-E,110,42,1.2,0.36,50,A2,27,1,34,0.4,2500,coastal,23,32,143000,54600,197600,0.4,0.03,1,1,1,0,81
Meerut,Hospital,9,north,900,high,210,1.3,0.3,41,yes,A1,metal,required,high,hot,30,72,1200,high,M33,metal,aluminum,95,30,3.3,0.44,18,A1,22,2,31,0.8,2700,hot,25,28,85500,27000,112500,2,0.14,1,1,1,1,57
Aligarh,Industrial,4,west,500,low,100,2.7,0.55,61,no,C,composite,not required,avg,moderate,25,64,900,medium,M34,composite,HPL,70,23,2.1,0.47,48,C,24,1,29,0.7,2000,moderate,21,24,35000,11500,46500,0.6,0.08,1,1,1,1,86
Saharanpur,Commercial,17,south,1600,medium,170,1.8,0.4,49,yes,A2,glass,required,high,hot,28,69,1100,high,M35,glass,reflective,125,40,1,0.31,37,A2,36,1,35,0.5,2600,"hot,coastal",30,35,200000,64000,264000,0.8,0.09,1,1,1,1,82
Firozabad,Residential,6,north,600,low,90,2.5,0.56,60,no,B,stone,required,avg,hot,27,68,950,medium,M36,stone,sandstone,68,22,1.8,0.54,50,B,40,0.7,28,1,2200,hot,18,48,40800,13200,54000,0.7,0.02,1,1,1,1,86
Muzaffarnagar,Hospital,11,east,1150,high,230,1.3,0.29,36,yes,A1,metal,required,high,hot,29,70,1100,high,M37,metal,galvanized,100,35,3,0.5,25,A1,25,2,33,0.6,2800,"hot,coastal",38,32,115000,40250,155250,1.7,0.21,1,1,1,1,62
Gorakhpur,Industrial,8,west,750,low,110,2.4,0.53,58,no,C,composite,not required,avg,moderate,24,72,1050,medium,M38,composite,ACP,80,28,2.5,0.56,40,C,20,1,30,1.2,2000,moderate,22,28,60000,21000,81000,0.1,0.03,1,1,1,1,97
Moradabad,Commercial,13,south,1380,medium,160,1.7,0.38,45,yes,A2,glass,required,high,hot,28,73,1120,high,M39,glass,IGU,115,40,1.1,0.35,45,A2,28,1,34,0.6,2500,hot,30,30,158700,55200,213900,0.6,0.03,1,1,1,1,87
Shahjahanpur,Residential,10,north,850,low,85,2.3,0.54,60,no,B,terracotta,required,avg,hot,27,65,980,medium,M40,terracotta,cladding,90,25,2.7,0.5,42,B,34,0.8,29,1.5,2200,hot,18,38,76500,21250,97750,0.4,0.04,0,1,1,1,71
Rampur,Industrial,5,west,550,medium,125,2.4,0.52,59,no,C,terracotta,required,low,moderate,24,71,1020,low,M38,terracotta,baguette,92,28,2.8,0.58,32,C,35,1.1,27,3.2,1900,hot,15,40,50600,15400,66000,0.4,0.06,1,1,1,0,81
Bijnor,Commercial,15,south,1475,high,195,1.7,0.41,47,yes,A2,composite,required,high,hot,28,70,1150,medium,M39,composite,ACP,105,32,1.9,0.42,44,A2,18,1.5,32,2.1,1800,moderate,28,22,154875,47200,202075,0.2,0.01,1,1,1,0,86
Etah,Residential,8,north,725,low,95,2.6,0.57,63,no,B,louvers,not required,avg,hot,29,66,920,high,M40,louvers,aluminum,85,30,3.5,0.45,20,B,20,2.5,29,0.9,2750,"cold,moderate",42,28,61625,21750,83375,0.9,0.12,1,1,1,0,70
Kasganj,Hospital,14,east,1325,medium,155,1.5,0.32,40,yes,A1,glass,required,high,moderate,25,69,1080,medium,M41,glass,DG,160,45,0.85,0.25,38,A1,26,1.2,36,0.2,2300,"coastal,hot",40,34,212000,59625,271625,0.65,0.07,0,1,1,0,56
Sambhal,Industrial,3,west,375,low,75,2.8,0.59,65,no,C,stone,required,low,hot,30,67,850,high,M42,stone,marble,130,38,1.7,0.48,42,C,42,0.5,25,0.3,2700,hot,22,52,48750,14250,63000,1.1,0.11,0,1,1,1,56
Budaun,Commercial,19,south,1825,high,225,1.9,0.43,50,yes,A2,metal,not required,high,hot,28,71,1180,high,M43,metal,stainless,75,25,2.9,0.62,55,A2,48,0.4,30,0.2,8000,"moderate,cold",48,60,136875,45625,182500,1,0.19,1,1,1,0,66
Pilibhit,Residential,10,north,950,medium,140,2.2,0.49,55,no,B,terracotta,required,avg,moderate,24,73,1250,low,M44,terracotta,GFRC,98,30,2.6,0.54,30,B,33,1,26,2.8,2000,moderate,20,38,93100,28500,121600,0.4,0.05,1,1,1,1,91
Hardoi,Hospital,16,east,1575,high,240,1.4,0.27,37,yes,A1,composite,required,high,hot,27,74,1320,medium,M45,composite,fiber cement,88,28,2.2,0.38,45,A1,22,1.8,33,1.5,1650,coastal,26,25,138600,44100,182700,0.8,0.11,1,1,1,0,72
Jalandhar,Commercial,15,south,1400,medium,145,1.7,0.38,46,yes,A2,glass,required,high,hot,28,66,1200,medium,M46,glass,low-E,115,38,1.2,0.35,48,A2,27,1,35,0.4,2500,coastal,25,32,161000,53200,214200,0.5,0.03,1,1,1,0,79
Amritsar,Residential,10,north,900,low,90,2.3,0.5,58,no,B,stone,required,avg,hot,29,70,980,medium,M47,stone,granite,78,28,1.9,0.54,45,B,35,0.6,30,1.1,2600,hot,18,50,70200,25200,95400,0.4,0.04,1,1,1,1,91
Ludhiana,Hospital,12,east,1150,high,220,1.4,0.28,39,yes,A1,metal,required,high,moderate,27,75,1150,high,M48,metal,aluminum,92,34,3.2,0.6,25,A1,22,1.8,32,0.5,2800,"hot,coastal",40,35,105800,39100,144900,1.8,0.32,1,1,1,0,48
Patiala,Industrial,5,west,600,low,95,2.5,0.56,60,no,C,composite,not required,low,hot,30,68,900,medium,M49,composite,HPL,72,22,2,0.48,40,C,20,1,28,1.5,2000,moderate,22,25,43200,13200,56400,0.5,0.08,1,1,1,0,78
Bathinda,Commercial,20,south,1700,high,210,1.6,0.35,47,yes,A2,glass,required,high,hot,27,70,1120,high,M50,glass,laminated,125,38,1.1,0.32,36,A2,30,1,36,0.3,2450,hot,28,30,212500,64600,277100,0.5,0.03,1,1,1,1,89
Faridkot,Residential,8,north,650,low,70,2.7,0.59,64,no,B,terracotta,required,avg,hot,28,69,990,medium,M51,terracotta,cladding,95,30,2.7,0.54,30,B,35,0.9,28,3,1900,hot,15,40,61750,19500,81250,0,0.05,0,1,1,1,79
Hoshiarpur,Hospital,14,east,1400,medium,180,1.5,0.27,38,yes,A1,metal,required,high,moderate,26,73,1000,high,M52,metal,galvanized,100,36,3.3,0.46,23,A1,23,2,32,0.4,2700,coastal,35,28,140000,50400,190400,1.8,0.19,1,1,1,0,50
Sangrur,Industrial,6,west,700,low,120,2.3,0.52,58,no,C,stone,required,low,hot,29,67,850,medium,M53,stone,sandstone,80,26,2.1,0.5,35,C,38,0.7,30,1.2,2300,hot,20,50,56000,18200,74200,0.2,0.02,1,1,1,1,96
Moga,Commercial,13,south,1350,high,210,1.7,0.39,47,yes,A2,glass,required,high,hot,28,71,1200,high,M54,glass,Low-E,115,39,1.2,0.34,47,A2,25,1,37,0.3,2600,"hot,coastal",30,30,155250,52650,207900,0.5,0.05,1,1,1,1,89
Jhansi,Commercial,14,south,1325,medium,160,1.9,0.41,49,yes,A2,glass,required,high,hot,28,65,850,high,M70,glass,Low-E,122,40,1.25,0.38,47,A2,25,1.2,36,0.45,2480,"hot,coastal",26,34,161650,53000,214650,0.65,0.03,1,1,1,1,86
Gwalior,Residential,8,north,725,low,85,2.5,0.55,60,no,B,stone,required,avg,hot,29,62,750,medium,M71,stone,marble,88,30,1.85,0.52,42,B,38,0.6,29,0.8,2650,hot,22,48,63800,21750,85550,0.65,0.03,0,1,1,1,66
Sagar,Hospital,11,east,1175,high,230,1.4,0.28,39,yes,A1,metal,required,high,moderate,26,70,1050,medium,M72,metal,aluminum,98,35,3.1,0.48,24,A1,23,1.9,33,0.6,2750,"hot,coastal",42,32,115150,41125,156275,1.7,0.2,1,1,1,0,52
Damoh,Industrial,6,west,650,low,105,2.6,0.57,62,no,C,composite,not required,avg,hot,27,68,950,high,M73,composite,ACP,78,26,2.2,0.5,45,C,21,1.3,31,1.8,1850,moderate,28,26,50700,16900,67600,0.4,0.07,1,1,1,0,81
Chhatarpur,Commercial,17,south,1585,medium,175,1.7,0.39,47,yes,A2,louvers,required,high,hot,29,66,800,high,M74,louvers,zinc,85,29,3.5,0.44,20,A2,22,2.4,30,0.7,2900,"hot,moderate",40,30,134725,45965,180690,1.8,0.05,1,1,1,1,63
Tikamgarh,Residential,9,north,850,low,92,2.4,0.54,59,no,B,terracotta,required,low,moderate,25,71,1100,medium,M75,terracotta,cladding,105,32,2.8,0.56,34,B,37,0.9,28,2.9,1950,hot,18,44,89250,27200,116450,0.4,0.02,0,1,1,0,62
Panna,Hospital,15,east,1450,high,245,1.3,0.26,37,yes,A1,glass,required,high,hot,28,69,950,high,M76,glass,reflective,148,44,0.9,0.27,35,A1,27,1.4,37,0.2,2520,"coastal,hot",45,36,214600,63800,278400,0.4,0.01,1,1,1,1,92
Satna,Industrial,4,west,475,medium,135,2.7,0.58,63,no,C,stone,required,avg,hot,30,67,1050,medium,M77,stone,limestone,95,28,2.1,0.49,38,C,40,0.5,27,2.2,2350,moderate,24,52,45125,13300,58425,0.6,0.09,1,1,1,0,76
Rewa,Commercial,19,south,1725,high,220,1.8,0.4,48,yes,A2,metal,not required,high,hot,28,70,900,high,M78,metal,stainless,82,27,2.95,0.55,28,A2,46,0.4,32,0.3,7950,"hot,cold",48,58,141450,46575,188025,1.15,0.15,1,1,1,1,74
Sidhi,Residential,7,north,675,low,78,2.8,0.59,64,no,B,composite,required,avg,moderate,26,72,1250,low,M79,composite,HPL,70,24,2.05,0.51,44,B,19,1.5,34,1.7,1550,moderate,25,24,47250,16200,63450,0.75,0.08,1,1,1,1,83
Singrauli,Hospital,12,east,1225,medium,165,1.5,0.3,41,yes,A1,glass,required,high,hot,27,74,1150,medium,M80,glass,DG,158,46,0.88,0.25,40,A1,28,1.1,38,0.15,2380,coastal,43,37,193550,56350,249900,0.62,0.05,1,1,1,0,77
Katni,Industrial,5,west,550,low,110,2.9,0.6,66,no,C,terracotta,required,low,hot,29,69,1000,high,M81,terracotta,panel,112,36,2.85,0.59,33,C,35,1,29,3.2,2120,hot,17,45,61600,19800,81400,0.05,0.01,0,1,1,1,79
Jabalpur,Commercial,18,south,1650,high,235,1.6,0.35,46,yes,A2,louvers,required,high,moderate,25,73,1350,medium,M82,louvers,aluminum,92,33,3.7,0.4,22,A2,21,2.7,31,0.9,2780,moderate,44,31,151800,54450,206250,2.1,0.05,1,1,1,1,57
Warangal,Commercial,15,south,1400,medium,150,1.7,0.38,48,yes,A2,glass,required,high,hot,29,71,1100,high,M83,glass,Low-E,120,40,1.2,0.33,50,A2,25,1,35,0.4,2500,"hot,coastal",25,30,168000,56000,224000,0.5,0.05,1,1,1,1,89
Nellore,Residential,10,north,900,low,85,2.3,0.52,60,no,B,stone,required,avg,hot,30,68,900,medium,M84,stone,granite,80,28,2,0.48,37,B,40,0.7,30,1,2600,hot,18,50,72000,25200,97200,0.3,0.04,1,1,1,1,93
Kurnool,Hospital,12,east,1150,high,225,1.4,0.26,38,yes,A1,metal,required,high,hot,28,73,1150,high,M85,metal,aluminum,85,30,3.4,0.54,20,A1,22,2,30,0.5,2700,"hot,coastal",40,25,97750,34500,132250,2,0.28,1,1,1,1,54
Kadapa,Industrial,5,west,600,low,100,2.5,0.55,62,no,C,composite,not required,avg,hot,27,65,750,medium,M86,composite,HPL,70,26,2.2,0.51,44,C,20,1,28,1.7,2000,moderate,22,20,42000,15600,57600,0.3,0.04,1,1,1,0,83
Vijayawada,Residential,7,north,650,low,70,2.7,0.58,65,no,B,stone,required,avg,hot,30,66,900,medium,M88,stone,sandstone,90,26,1.9,0.5,35,B,35,0.6,26,0.4,2300,hot,20,40,58500,16900,75400,0.8,0.08,0,1,1,1,62
Tirupati,Hospital,14,east,1425,medium,165,1.5,0.29,39,yes,A1,metal,required,high,hot,28,71,1050,high,M89,metal,galvanized,95,31,3.3,0.47,25,A1,24,1.7,32,0.6,2700,"hot,coastal",38,32,135375,44175,179550,1.8,0.18,1,1,1,1,60
Kakinada,Industrial,6,west,675,low,120,2.4,0.54,60,no,C,composite,not required,avg,moderate,26,69,980,medium,M90,composite,ACP,75,28,2.3,0.53,35,C,18,1.1,30,1.5,1650,moderate,22,22,50625,18900,69525,0.1,0.01,1,1,1,1,98
Kurnool,Commercial,13,south,1325,high,195,1.7,0.39,47,yes,A2,glass,required,high,hot,29,72,1150,high,M91,glass,IGU,120,38,1.1,0.35,50,A2,26,1.2,35,0.4,2450,hot,28,30,159000,50350,209350,0.6,0.04,1,1,1,1,87
Rourkela,Commercial,16,south,1450,medium,155,1.8,0.39,47,yes,A2,glass,required,high,hot,27,75,1400,medium,M92,glass,Low-E,125,42,1.15,0.36,49,A2,26,1.1,34,0.4,2520,"hot,coastal",27,33,181250,60900,242150,0.65,0.03,1,1,1,1,86
Tumkur,Residential,9,north,850,low,82,2.4,0.54,61,no,B,stone,required,avg,moderate,24,68,950,medium,M93,stone,quartz,78,25,2.05,0.5,40,B,39,0.6,28,1.1,2580,moderate,20,52,66300,21250,87550,0.35,0.04,1,1,1,1,92
Shimoga,Hospital,13,east,1350,high,240,1.4,0.27,38,yes,A1,metal,required,high,moderate,25,76,2200,high,M94,metal,aluminum,88,32,3.2,0.49,26,A1,24,1.8,33,0.5,2720,coastal,42,35,118800,43200,162000,1.8,0.22,1,1,1,0,50
Bijapur,Industrial,7,west,725,medium,135,2.3,0.52,59,no,C,composite,not required,avg,hot,28,62,650,high,M95,composite,fiber,72,24,2.25,0.47,46,C,22,1.2,30,1.9,1680,hot,24,28,52200,17400,69600,0.05,0.05,1,1,1,1,98
Hospet,Commercial,18,south,1625,high,215,1.7,0.4,48,yes,A2,glass,required,high,hot,29,64,800,high,M96,glass,reflective,130,45,1,0.34,42,A2,27,1.3,36,0.3,2480,"hot,coastal",45,36,211250,73125,284375,0.7,0.06,1,1,1,1,85
Bellary,Residential,6,north,575,low,75,2.6,0.57,63,no,B,terracotta,required,low,hot,28,60,700,medium,M97,terracotta,cladding,98,33,2.9,0.55,36,B,36,0.9,29,3,1980,hot,16,44,56350,18975,75325,0.3,0.02,0,1,1,1,74
Davangere,Hospital,11,east,1225,medium,160,1.5,0.28,39,yes,A1,metal,required,high,moderate,26,70,1050,medium,M98,metal,galvanized,90,30,3.1,0.46,24,A1,23,2,32,0.7,2650,moderate,38,32,110250,36750,147000,1.6,0.18,1,1,1,1,64
Mandya,Industrial,4,west,450,low,95,2.8,0.59,65,no,C,stone,required,avg,moderate,25,72,950,low,M99,stone,limestone,85,28,2.2,0.52,38,C,41,0.5,27,2.3,2320,moderate,22,50,38250,12600,50850,0.6,0.07,1,1,1,1,87
Hassan,Commercial,15,south,1425,high,205,1.9,0.42,50,yes,A2,composite,required,high,moderate,24,74,1200,medium,M100,composite,HPL,105,34,2,0.44,45,A2,20,1.5,33,2.1,1620,moderate,28,25,149625,48450,198075,0.1,0.02,1,1,1,1,98
Chikmagalur,Residential,10,north,975,medium,145,2.2,0.5,56,no,B,louvers,not required,avg,moderate,23,76,1850,low,M101,louvers,aluminum,82,29,3.6,0.41,22,B,19,2.6,30,0.8,2780,"cold,moderate",44,30,79950,28275,108225,1.4,0.09,1,1,1,1,70
Varanasi,Commercial,16,south,1400,medium,160,1.7,0.4,50,yes,A2,glass,required,high,hot,28,70,1100,high,M132,glass,Low-E,120,40,1.3,0.35,48,A2,25,1,35,0.5,2500,"hot,coastal",25,30,168000,56000,224000,0.4,0.05,1,1,1,1,91
Patna,Residential,9,north,850,low,90,2.4,0.55,62,no,B,stone,required,avg,hot,29,65,900,medium,M133,stone,granite,85,28,1.9,0.5,45,B,35,0.6,29,1.1,2600,hot,18,48,72250,23800,96050,0.5,0.05,1,1,1,1,89
Ranchi,Hospital,12,east,1150,high,230,1.5,0.28,39,yes,A1,metal,required,high,moderate,26,70,1050,high,M134,metal,galvanized,90,35,3.2,0.45,22,A1,23,2,33,0.7,2700,"hot,coastal",38,32,103500,40250,143750,1.7,0.17,1,1,1,0,53
Gaya,Industrial,6,west,600,low,110,2.6,0.58,64,no,C,composite,not required,avg,hot,27,60,750,medium,M135,composite,HPL,75,25,2.1,0.56,42,C,20,1.2,31,1.8,1800,moderate,25,22,45000,15000,60000,0.5,0.02,1,1,1,0,80
Bokaro,Commercial,18,south,1650,high,215,1.6,0.36,48,yes,A2,glass,required,high,hot,29,70,1200,high,M136,glass,laminated,125,40,1,0.33,37,A2,28,1,36,0.4,2450,hot,30,30,206250,66000,272250,0.6,0.03,1,1,1,1,87
Dhanbad,Residential,7,north,650,low,85,2.7,0.6,66,no,B,terracotta,required,avg,moderate,25,68,1000,medium,M137,terracotta,cladding,100,32,2.8,0.57,33,B,35,0.9,29,2.9,1950,hot,15,44,65000,20800,85800,0.1,0.03,0,1,1,0,67
Asansol,Hospital,14,east,1400,medium,170,1.4,0.27,37,yes,A1,metal,required,high,moderate,26,71,1100,high,M138,metal,aluminum,92,29,3,0.46,26,A1,22,1.5,32,0.5,2600,coastal,35,29,128800,40600,169400,1.6,0.19,1,1,1,0,54
Malda,Industrial,5,west,475,low,105,2.5,0.56,60,no,C,stone,required,avg,hot,28,72,900,medium,M139,stone,granite,90,25,2,0.53,40,C,40,0.6,28,1.9,2200,hot,20,50,42750,11875,54625,0.5,0.03,1,1,1,1,89
Siliguri,Commercial,20,south,1725,high,225,1.7,0.39,49,yes,A2,glass,not required,high,hot,29,69,1350,high,M140,glass,low-E,115,38,1.1,0.31,45,A2,27,1,35,0.3,2600,"hot,coastal",27,31,198375,65550,263925,0.6,0.08,1,1,1,1,86
Ambala,Commercial,12,south,1300,medium,152,1.8,0.38,46,yes,A2,glass,required,high,moderate,25,67,950,medium,M141,glass,tinted,118,38,1.25,0.35,48,A2,26,1.2,35,0.4,2450,"hot,moderate",26,32,153400,49400,202800,0.55,0.03,1,1,1,1,88
Chitradurga,Residential,8,north,750,low,88,2.5,0.54,61,no,B,stone,required,avg,hot,27,64,800,high,M142,stone,quartzite,82,27,1.95,0.51,42,B,37,0.7,29,1.2,2620,hot,19,50,61500,20250,81750,0.55,0.03,1,1,1,1,88
